keyword,lang,cid,main_img,post_sj,sumry,com_ctgry_sn,lang_code_id,traffic_adres,traffic_new_adres
문화관광,ko,KOPhaq0oj,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82111&fileTy=MEDIA&fileNo=1&thumbTy=M,2026 여유작 콘서트,가을 하늘 아래 푸르른 잔디밭에서 즐기는 우리 음악 나들이,Cg1x6l1,ko,서울 종로구 와룡동 12-2,"서울 종로구 율곡로 102 (와룡동, 서울 돈화문 국악당)"
문화관광,ko,KOPx8qi2o,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82071&fileTy=MEDIA&fileNo=1&thumbTy=M,2026 타이틀 매치 《오인환 vs. 장서영: 휴먼 에러》,최첨단 기술 시대에 인간만이 할 수 있는 창작을 고민하고 인간의 불완전함에서 비롯되는 오류와 정상성에서의 이탈을 창조의 동력으로 삼은 두 작가의 작업,Cg1x6l1,ko,서울 노원구 중계동 508,"서울 노원구 동일로 1238 (중계동, 서울시립 북서울미술관)"
문화관광,ko,KOPzmxljt,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81953&fileTy=MEDIA&fileNo=1&thumbTy=M,"자연을 사랑한 화가들 - 김원, 유영국, 이인성, 이중섭, 임직순 ","마포구 신공덕동(만리재옛길 28 1층)에 위치한 56.3평의 화이트큐브로 금성문화재단의 서화, 도자 소장품 전시를 주로 소개한다.  ",Cg1x6l1,ko,서울 마포구 신공덕동 8-3,서울 마포구 만리재옛길 28 1층
문화관광,ko,KOPqkbvqx,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81946&fileTy=MEDIA&fileNo=1&thumbTy=M,LALARECIPE × MeME : Happiness Recipe for Every Skin,"즐거운 레시피와 예술이 만나 완성하는 새로운 K-Beauty 경험.
라라레서피와 MeME 작가의 협업을 통해 뷰티와 아트가 어우러진 감각적인 전시",Cg1x6l1,ko,서울 중구 을지로7가 143,서울 중구 을지로 281 (을지로7가)
문화관광,ko,KOPh6s7u3,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81943&fileTy=MEDIA&fileNo=1&thumbTy=M,The Color of Memory 메모리의 색,"AI·반도체 시대, ‘예술적 메모리 소자’로서의 회화를 재정의하다.",Cg1x6l1,ko,서울 종로구 삼청동 157-78,"서울 종로구 삼청로7길 38 (삼청동, 공근혜갤러리빌딩)"
문화관광,ko,KOPoyf5m1,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81906&fileTy=MEDIA&fileNo=1&thumbTy=M,2026 서울시향 파크콘서트,"깊어가는 가을 밤, 울시향이 선사하는 웅장한 감동의 순간!
비그림파워코리아와 함께하는 2026 서울시향 파크 콘서트",Cg1x6l1,ko,서울 광진구 능동 18,"서울 광진구 능동로 216 (능동, 어린이대공원)"
문화관광,ko,KOPreqvti,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81903&fileTy=MEDIA&fileNo=1&thumbTy=M,2026 애채숲,각기 다른 예술의 형태들이 하나의 공간에서 만나 이루는 숲,Cg1x6l1,ko,서울 강남구 역삼동 614-20,서울 강남구 논현로105길 53 2층
문화관광,ko,KOPii0mwl,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81688&fileTy=MEDIA&fileNo=1&thumbTy=M,섬유기획전 《안식의 결 Texture of Rest》	,"현대인에게 섬유의 고유한 물성인 '연결'과 '인내'를 매개로 흩어진 자아를 다시 '직조'하는 시간을 건네는 섬유기획전	
",Cg1x6l1,ko,서울 성동구 성수동2가 314-12,"서울 성동구 연무장7길 11 (성수동2가, 우란문화재단)"
문화관광,ko,KOPex1iie,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81726&fileTy=MEDIA&fileNo=1&thumbTy=M,파메서울,"복잡한 도심 위, 온전한 여유 속에서 휴식과 대화가 오가는 라운지",Cg1x6l1,ko,서울 용산구 한강로3가 98,서울 용산구 서빙고로 17 20층
문화관광,ko,KOPzxk4rc,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81706&fileTy=MEDIA&fileNo=1&thumbTy=M,SKETCH 2026: 유동의 미학,금융과 예술이 교류하고 서로의 언어를 공유하는 새로운 만남의 장,Cg1x6l1,ko,서울 종로구 화동 106-5,서울 종로구 윤보선길 75 (화동)
문화관광,en,ENPhaq0oj,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82111&fileTy=MEDIA&fileNo=1&thumbTy=M,2026 Yeoyujak Concert,"An outing with Korean traditional music on a green lawn under the autumn sky
",Cg1x6l1,en,"102, Yulgok-ro, Jongno-gu, Seoul (Waryong-dong)","102, Yulgok-ro, Jongno-gu, Seoul (Waryong-dong)"
문화관광,en,ENPlv5bpr,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82146&fileTy=MEDIA&fileNo=1&thumbTy=M,Gyeongchun Railway Bridge Music Fountain,"A nighttime music fountain over Jungnangcheon Stream, staged with lasers from a former Gyeongchun Line railway bridge
",Ca1u7i6,en,"224-3, Wolgye-dong, Nowon-gu, Seoul (Gyeongchun Railway Bridge)","224-3, Wolgye-dong, Nowon-gu, Seoul (Gyeongchun Railway Bridge)"
문화관광,en,ENPx8qi2o,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82071&fileTy=MEDIA&fileNo=1&thumbTy=M,2026 Title Match 《Oh Inhwan vs. Chang Seoyoung - Human Error》,"Work by two artists who ask what only humans can create in an age of advanced technology, and who turn error and departure from the norm, born of human imperfection, into a driving force for creation
",Cg1x6l1,en,"1238, Dongil-ro, Nowon-gu, Seoul (Junggye-dong, Buk-Seoul Museum of Art)","1238, Dongil-ro, Nowon-gu, Seoul (Junggye-dong, Buk-Seoul Museum of Art)"
문화관광,en,ENPreqvti,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81903&fileTy=MEDIA&fileNo=1&thumbTy=M,2026 AECHAE Forest,"A forest formed where different art forms meet in a single space
",Cg1x6l1,en,"2F, 53, Nonhyeon-ro 105-gil, Gangnam-gu, Seoul","2F, 53, Nonhyeon-ro 105-gil, Gangnam-gu, Seoul"
문화관광,en,ENPoyf5m1,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81906&fileTy=MEDIA&fileNo=1&thumbTy=M,SPO Park Concert 2026,"A deep autumn night and a moment of grand feeling from the Seoul Philharmonic Orchestra.
2026 Seoul Philharmonic Orchestra Park Concert, presented with B.Grimm Power Korea",Cg1x6l1,en,"216, Neungdong-ro, Gwangjin-gu, Seoul","216, Neungdong-ro, Gwangjin-gu, Seoul"
문화관광,en,ENPh6s7u3,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81943&fileTy=MEDIA&fileNo=1&thumbTy=M,The Color of Memory ,"Redefining painting as an 'artistic memory device' in the age of AI and semiconductors.
",Cg1x6l1,en,"38, Samcheong-ro 7-gil, Jongno-gu, Seoul","38, Samcheong-ro 7-gil, Jongno-gu, Seoul"
문화관광,en,ENPqkbvqx,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81946&fileTy=MEDIA&fileNo=1&thumbTy=M,LALARECIPE × MeME : Happiness Recipe for Every Skin,"A new K-Beauty experience made where a joyful recipe meets art.
A collaboration between LALARECIPE and the artist MeME, bringing beauty and art together in one sensory exhibition",Cg1x6l1,en,"281, Euljiro, Jung-gu, Seoul","281, Euljiro, Jung-gu, Seoul"
문화관광,en,ENPzmxljt,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81953&fileTy=MEDIA&fileNo=1&thumbTy=M,"Painters Inspired by Nature-Kim Won, Yoo Youngkuk, Lee In-sung, Lee Jung-seop, Yim Jik-soon","A white cube of about 186 m² in Singongdeok-dong, Mapo-gu (1F, 28 Mallijae-yetgil), showing mainly the Kumsung Cultural Foundation's collection of painting, calligraphy and ceramics.
",Cg1x6l1,en,"1F, 28, Mallijae-yetgil, Mapo-gu, Seoul","1F, 28, Mallijae-yetgil, Mapo-gu, Seoul"
문화관광,en,ENPex1iie,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81726&fileTy=MEDIA&fileNo=1&thumbTy=M,Pharme Seoul,"A lounge above the busy city, where rest and conversation unfold in complete ease
",Cg1x6l1,en,"20th Floor, 17 Seobinggo-ro, Yongsan-gu, Seoul","20th Floor, 17 Seobinggo-ro, Yongsan-gu, Seoul"
