keyword,lang,cid,district,post_sj,sumry,main_img
문화관광,ko,KOPhaq0oj,종로구,2026 여유작 콘서트,가을 하늘 아래 푸르른 잔디밭에서 즐기는 우리 음악 나들이,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82111&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPx8qi2o,노원구,2026 타이틀 매치 《오인환 vs. 장서영: 휴먼 에러》,최첨단 기술 시대에 인간만이 할 수 있는 창작을 고민하고 인간의 불완전함에서 비롯되는 오류와 정상성에서의 이탈을 창조의 동력으로 삼은 두 작가의 작업,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82071&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPzmxljt,마포구,"자연을 사랑한 화가들 - 김원, 유영국, 이인성, 이중섭, 임직순 ","마포구 신공덕동(만리재옛길 28 1층)에 위치한 56.3평의 화이트큐브로 금성문화재단의 서화, 도자 소장품 전시를 주로 소개한다.  ",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81953&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPqkbvqx,중구,LALARECIPE × MeME : Happiness Recipe for Every Skin,"즐거운 레시피와 예술이 만나 완성하는 새로운 K-Beauty 경험.
라라레서피와 MeME 작가의 협업을 통해 뷰티와 아트가 어우러진 감각적인 전시",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81946&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPh6s7u3,종로구,The Color of Memory 메모리의 색,"AI·반도체 시대, ‘예술적 메모리 소자’로서의 회화를 재정의하다.",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81943&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPoyf5m1,광진구,2026 서울시향 파크콘서트,"깊어가는 가을 밤, 울시향이 선사하는 웅장한 감동의 순간!
비그림파워코리아와 함께하는 2026 서울시향 파크 콘서트",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81906&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPreqvti,강남구,2026 애채숲,각기 다른 예술의 형태들이 하나의 공간에서 만나 이루는 숲,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81903&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPii0mwl,성동구,섬유기획전 《안식의 결 Texture of Rest》	,"현대인에게 섬유의 고유한 물성인 '연결'과 '인내'를 매개로 흩어진 자아를 다시 '직조'하는 시간을 건네는 섬유기획전	
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81688&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPex1iie,용산구,파메서울,"복잡한 도심 위, 온전한 여유 속에서 휴식과 대화가 오가는 라운지",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81726&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ko,KOPzxk4rc,종로구,SKETCH 2026: 유동의 미학,금융과 예술이 교류하고 서로의 언어를 공유하는 새로운 만남의 장,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81706&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPhaq0oj,종로구,2026 Yeoyujak Concert,"An outing with Korean traditional music on a green lawn under the autumn sky
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82111&fileTy=MEDIA&fileNo=1&thumbTy=M
